"시도별","종류별","항목","단위","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"강원도","합계","시금치","","137","103","47","62","77","71","31","54","62","53","43","36","33","34","23","12","10.696","8.7873","44.4699","6.1318",
"강원도","합계","상추","","43","73","71","41","52","135","75","140","78","42","158","65","57","39","212","196","182.5953","97.2555","106.0013","129.3788",
"강원도","합계","양배추","","904","1046","988","1059","1022","1153","1203","898","1262","577","1228","864","749","1313","1244","1272","1003.2857","1200.7805","1501.055","1284.6825",
"강원도","합계","조미채소","","6406","6000","4718","4859","4937","4310","4556","4477","3848","4558","4340","4129","4502","4354","4150","2938","3244.4362","3331.8613","3911.1749","3652.3403",
"강원도","합계","고추","","5019","4795","3736","3639","3873","3346","3522","3378","2959","3325","3016","2994","3063","2674","2780","2076","2063.8709","2113.1957","2556.9209","2251.1825",
"강원도","합계","마늘","","564","445","357","345","368","304","312","396","389","364","440","449","395","377","307","180","262.5916","265.3409","239.1106","235.9922",
"강원도","합계","파","","602","686","548","786","618","647","680","691","467","816","862","655","1006","1242","1014","655","867.7323","887.7758","1005.0258","1077.4102",
"강원도","합계","대파","","","509","438","510","432","573","621","627","410","742","786","564","949","1169","988","617","813.1084","804.18","853.2496","978.0337",
"강원도","합계","쪽파","","","177","110","276","186","74","59","64","57","74","76","91","57","73","26","38","54.6239","83.5958","151.7762","99.3765",
"강원도","합계","양파","","218","69","74","89","78","10","39","11","33","53","22","30","37","59","46","16","33.1944","60.1575","101.6228","75.9824",
"강원도","합계","생강","","3","5","3","0","0","3","3","1","0","0","0","1","1","2","3","11","17.047","5.3914","8.4948","11.773",
"강원도","합계","기타채소","","2747","2764","3309","4479","4635","4511","4193","4337","5759","5916","5918","5943","6118","6824","7665","8838","9007.019","8310.4314","7675.8671","7455.3547",
"강원도","논","합계","","346","393","356","491","455","1042","649","537","414","510","811","484","527","1206","320","892","593.0042","501.3956","191.3366","",
"강원도","논","과채류","","22","42","26","6","77","126","70","6","51","9","32","24","27","99","58","34","69.6025","60.9584","9.3849","8.7541",
"강원도","논","수박","","0","0","0","1","0","0","0","0","0","0","0","0","0","","0","0","3.6869",".0568",".0115",".3116",
"강원도","논","참외","","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0",".3521",".1128",".4157",".5122",
"강원도","논","딸기","","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0",".0985",
"강원도","논","오이","","6","37","10","3","36","46","45","2","7","0","27","0","10","3","0","2","21.7037","29.4541",".0115",".0336",
"강원도","논","호박","","16","5","16","2","41","80","25","4","44","9","5","24","17","96","58","32","43.8598","31.3347","8.9462","7.7982",
"강원도","논","토마토","","0","0","0","0","0","0","0","0","0","","","","","","","","","","","",
"강원도","논","근채류","","36","10","22","26","37","147","60","115","50","120","122","46","27","246","1","62","35.7236","12.3397","3.3797","",
"강원도","논","무  계","","36","10","18","26","37","147","60","115","50","120","122","46","27","246","1","62","35.1044","12.3397","3.3797","",
"강원도","논","봄무","","23","7","13","23","34","112","40","25","28","0","13","-","-","-","0","15","0","1.0521","0","0",
"강원도","논","고랭지무","","","3","2","2","0","25","17","69","18","120","64","32","18","158","0","22","17.793","1.8832","0","0",
"강원도","논","가을무","","13","0","3","0","0","10","3","13","2","0","45","3","1","27","1","11","1.9053","2.9313","3.1739","1.6772",
"강원도","논","총각무","","","0","0","1","3","0","0","8","2","0","0","0","0","5","0","0","1.1826",".7565",".2058","1.1872",
"강원도","논","일반총각무","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0",
"강원도","논","가을총각무","","","","","","","","","","","","","0","0","5","0","0","1.1826",".7565",".2058","1.1872",
"강원도","논","겨울무","","","","","","","","","","","","0","0","0","","0","0","0","0","0","",
"강원도","논","기타무","","","","","","","","","","","","","11","8","56","0","14","14.2235","5.7166","0",".0336",
"강원도","논","당근","","0","0","4","0","0","0","0","0","0","0","0","0","0","","0","0",".6192","0","0","0",
"강원도","논","엽채류","","85","76","49","202","131","353","227","107","85","70","323","65","53","369","27","286","154.7456","83.7221","18.0298","",
"강원도","논","배추계","","82","72","49","172","129","323","224","105","84","70","270","42","53","319","27","248","147.0676","72.0397","17.9841","",
"강원도","논","봄배추","","69","58","25","115","113","114","108","23","16","3","113","-","-","97","0","30","36.7285","26.3996","2.5536","5.1735",
"강원도","논","고랭지배추","","","2","18","47","11","96","97","52","45","58","105","5","22","98","4","138","32.0567","0","9.287","7.1737",
"강원도","논","가을배추","","13","12","6","10","5","113","19","30","23","9","52","37","31","121","22","55","73.9947","45.6401","6.1139","42.4262",
"강원도","논","겨울배추","","","","","","","","","","","0","0","0","0","","0","0","0","0","0","",
"강원도","논","기타배추","","","","","","","","","","","","","-","-","3","1","25","4.2877","0",".0296","11.5183",
"강원도","논","시금치","","3","4","0","0","0","0","0","0","0","0","0","0","0","","0","0",".5012","0","0","0",
"강원도","논","상추","","0","0","0","1","0","1","0","2","1","0","0","0","0","","0","0","2.6412",".1199",".0408",".3738",
"강원도","논","양배추","","0","0","0","29","2","29","3","0","0","0","53","23","0","50","0","38","4.5356","11.5625",".0049","5.1365",
"강원도","논","조미채소","","142","158","97","75","100","274","170","208","195","265","224","182","200","171","34","95","80.965","55.5475","82.6902","47.6346",
"강원도","논","고추","","18","51","61","43","61","180","105","130","110","131","58","53","133","90","21","50","43.9829","31.5506","64.3596","46.1798",
"강원도","논","마늘","","118","99","34","28","18","71","52","77","71","68","109","101","43","33","9","5","10.2827","3.8161","1.6612",".993",
"강원도","논","파","","3","7","2","4","12","22","13","1","9","54","54","17","22","15","4","40","26.6811","19.5432","13.7585",".4618",
"강원도","논","대파","","","7","2","1","6","21","13","1","9","54","45","17","22","14","4","37","22.175","18.8651",".3508",".1547",
"강원도","논","쪽파","","","0","0","3","6","1","0","0","0","0","9","0","0","1","0","3","4.5061",".6781","13.4077",".3071",
"강원도","논","양파","","3","1","0","0","9","0","0","0","5","12","3","11","2","33","0","0",".0183",".6376","2.9109","0",
"강원도","논","생강","","0","0","0","0","0","1","0","0","0","0","0","0","0","","0","0","0","0","0","0",
"강원도","논","기타채소","","61","107","162","182","110","142","122","101","33","46","110","167","220","321","200","415","251.9675","288.8279","77.852","99.6545",
